Protein,GN,Species
Q2M3R5,SLC35G1,Homo sapiens
A6NKG5,RTL1,Homo sapiens
Q99500,S1PR3,Homo sapiens
Q5M8T2,SLC35D3,Homo sapiens
P0DSO2,SCYGR9,Homo sapiens
Q15020,SART3,Homo sapiens
Q8NE22,SETD9,Homo sapiens
Q9H4I8,SERHL2,Homo sapiens
P84101,SERF2,Homo sapiens
P0DUD1,SPDYE8,Homo sapiens
Q9UBP0,SPAST,Homo sapiens
Q5MJ70,SPDYA,Homo sapiens
Q92543,SNX19,Homo sapiens
O43761,SYNGR3,Homo sapiens
Q5VWJ9,SNX30,Homo sapiens
Q9NYZ4,SIGLEC8,Homo sapiens
P0CW21,SPART-AS1,Homo sapiens
P35237,SERPINB6,Homo sapiens
Q9UM82,SPATA2,Homo sapiens
Q5VX52,SPATA1,Homo sapiens
P58511,SMIM11A,Homo sapiens
Q92673,SORL1,Homo sapiens
Q8TCY0,SMIM11B,Homo sapiens
Q2TAY7,SMU1,Homo sapiens
Q9NS25,SPANXB1,Homo sapiens
Q6STE5,SMARCD3,Homo sapiens
Q9H7B4,SMYD3,Homo sapiens
Q99961,SH3GL1,Homo sapiens
Q9BXN6,SPANXD,Homo sapiens
Q9Y657,SPIN1,Homo sapiens
O43556,SGCE,Homo sapiens
Q9H0F6,SHARPIN,Homo sapiens
Q9H3U7,SMOC2,Homo sapiens
O14796,SH2D1B,Homo sapiens
O60224,SSX4,Homo sapiens
P0DMM9,SULT1A3,Homo sapiens
Q9H6E5,TUT1,Homo sapiens
Q5TH74,STPG1,Homo sapiens
O75044,SRGAP2,Homo sapiens
Q05952,TNP2,Homo sapiens
O60279,SUSD5,Homo sapiens
O95772,STARD3NL,Homo sapiens
Q9NY15,STAB1,Homo sapiens
Q969W0,SPTSSA,Homo sapiens
P09486,SPARC,Homo sapiens
Q5SRH9,TTC39A,Homo sapiens
Q92734,TFG,Homo sapiens
Q10587,TEF,Homo sapiens
Q3LXA3,TKFC,Homo sapiens
P25325,MPST,Homo sapiens
Q969E4,TCEAL3,Homo sapiens
Q9NXF1,TEX10,Homo sapiens
Q32NB8,PGS1,Homo sapiens
Q8N328,PGBD3,Homo sapiens
O00541,PES1,Homo sapiens
Q7Z4N8,P4HA3,Homo sapiens
Q9UIW2,PLXNA1,Homo sapiens
Q9HAT8,PELI2,Homo sapiens
Q2VWP7,PRTG,Homo sapiens
Q15435,PPP1R7,Homo sapiens
Q7Z3Z4,PIWIL4,Homo sapiens
P62266,RPS23,Homo sapiens
P15880,RPS2,Homo sapiens
Q86WA9,SLC26A11,Homo sapiens
Q5H9E4,SLC25A53,Homo sapiens
P50443,SLC26A2,Homo sapiens
Q9H1X1,RSPH9,Homo sapiens
P0C7Q5,SLC35G4,Homo sapiens
A6NKX4,SLC22A31,Homo sapiens
Q9Y6M7,SLC4A7,Homo sapiens
Q8IVJ1,SLC41A1,Homo sapiens
Q86UD0,SAPCD2,Homo sapiens
A0A286YEY9,SCYGR1,Homo sapiens
P47872,SCTR,Homo sapiens
Q9BRL7,SEC22C,Homo sapiens
Q6NUK1,SLC25A24,Homo sapiens
Q96BY9,SARAF,Homo sapiens
Q9BR46,SCP2D1-AS1,Homo sapiens
Q99470,SDF2,Homo sapiens
P31431,SDC4,Homo sapiens
Q86XK3,SFR1,Homo sapiens
O43236,SEPTIN4,Homo sapiens
P62341,SELENOT,Homo sapiens
O95473,SYNGR4,Homo sapiens
Q9H156,SLITRK2,Homo sapiens
Q86XE0,SNX32,Homo sapiens
A6NIY4,SPDYE5,Homo sapiens
Q96GM5,SMARCD1,Homo sapiens
Q9UQ90,SPG7,Homo sapiens
P30626,SRI,Homo sapiens
