Protein,GN,Species
Q6PGH2,Jpt2,Mus musculus
Q6PHN1,Ccdc57,Mus musculus
Q6PHQ9,Pabpc4,Mus musculus
Q6PHS6,Snx13,Mus musculus
Q6PI17,Timp2,Mus musculus
Q6PI62,Gpr173,Mus musculus
Q6Q6R3,Crip3,Mus musculus
Q6RUT8,Ccdc154,Mus musculus
Q6RUU0,Ptx4,Mus musculus
Q6S5G4,Gja6,Mus musculus
Q6S5I3,S100a15a,Mus musculus
Q6T5E4,Gcnt2,Mus musculus
Q6TCG2,Paqr9,Mus musculus
Q6TCG5,Paqr6,Mus musculus
Q6TCG8,Paqr3,Mus musculus
Q6TU36,Defb50,Mus musculus
Q6TYB5,Fez2,Mus musculus
Q6UL01,Morn2,Mus musculus
Q6V595,Klhl6,Mus musculus
Q6W049,Or56b34,Mus musculus
Q6ZPG2,Wdr90,Mus musculus
Q6ZPJ0,Tex2,Mus musculus
Q6ZPR6,Ibtk,Mus musculus
Q6ZPT1,Klhl9,Mus musculus
Q6ZPY5,Znf507,Mus musculus
Q6ZQ03,Fnbp4,Mus musculus
Q6ZQ18,Efr3b,Mus musculus
Q6ZQA6,Igsf3,Mus musculus
Q6ZQH8,Nup188,Mus musculus
Q6ZWM4,Lsm8,Mus musculus
Q6ZWQ7,Spcs3,Mus musculus
Q6ZWQ9,Myl12a,Mus musculus
Q6ZWX0,Wdr83os,Mus musculus
Q6ZWY3,Rps27l,Mus musculus
Q6ZWY8,Tmsb10,Mus musculus
Q75WC0,Polg,Mus musculus
Q765I1,Uts2b,Mus musculus
Q76HP3,Tmem132d,Mus musculus
Q78IK2,Atp5mk,Mus musculus
Q78IK4,Apool,Mus musculus
Q78KK3,Slc22a18,Mus musculus
Q78PG9,Ccdc25,Mus musculus
Q78T54,Vma21,Mus musculus
Q78WH7,Camk2n2,Mus musculus
Q78WZ7,Polr1f,Mus musculus
Q78XF5,Ostc,Mus musculus
Q78XR0,Trappc6a,Mus musculus
Q78YZ6,Scoc,Mus musculus
Q78ZM0,Snx3,Mus musculus
Q791N7,Polr1h,Mus musculus
Q794H2,Nap1l3,Mus musculus
Q7M6Y1,Rsl1,Mus musculus
Q7M713,Tas2r116,Mus musculus
Q7M717,Tas2r102,Mus musculus
Q7M720,Tas2r13,Mus musculus
Q7M725,Tas2r107,Mus musculus
Q7M756,Prss54,Mus musculus
Q7M757,C6.1al,Mus musculus
Q7M763,Adam20,Mus musculus
Q7M766,Adam34l,Mus musculus
Q7TM99,Slc16a9,Mus musculus
Q7TMA2,Znf503,Mus musculus
Q7TMF3,Ndufa12,Mus musculus
Q7TMV3,Fastkd5,Mus musculus
Q7TMX5,Shq1,Mus musculus
Q7TN22,Txndc16,Mus musculus
Q7TN51,Mrgprb8,Mus musculus
Q7TN84,Syt14,Mus musculus
Q7TND5,Rpf1,Mus musculus
Q7TNI2,Tmem59l,Mus musculus
Q7TNI3,Cacna1f,Mus musculus
Q7TNL5,Ppp2r5d,Mus musculus
Q7TNL7,Dusp9,Mus musculus
Q7TNP2,Ppp2r1b,Mus musculus
Q7TNR9,Arhgef4,Mus musculus
Q7TNS2,Micos10,Mus musculus
Q7TNS7,Asic4,Mus musculus
Q7TNU6,Znf250,Mus musculus
Q7TNU7,Letm2,Mus musculus
Q7TNV7,Defb38,Mus musculus
Q7TNV9,Defb14,Mus musculus
Q7TPB0,Plppr3,Mus musculus
Q7TPD6,Raver2,Mus musculus
Q7TPE5,Slc7a6os,Mus musculus
Q7TPG6,Tafa3,Mus musculus
Q7TPM1,Prrc2b,Mus musculus
Q7TPN3,Pigv,Mus musculus
Q7TPN9,Prr14,Mus musculus
Q7TPY9,Ldoc1,Mus musculus
Q7TQ07,Poln,Mus musculus
Q7TQ48,Srl,Mus musculus
Q7TQ69,Tmc3,Mus musculus
Q7TQA5,Tas2r39,Mus musculus
Q7TQA6,Tas2r38,Mus musculus
Q7TQA7,Tas2r3,Mus musculus
Q7TQA8,Tas2r136,Mus musculus
Q7TQA9,Tas2r135,Mus musculus
Q7TQB0,Tas2r134,Mus musculus
Q7TQB8,Tas2r40,Mus musculus
Q7TQB9,Tas2r143,Mus musculus
Q7TQC7,Gpatch2,Mus musculus
Q7TQD7,Myo1b,Mus musculus
Q7TQE7,Matcap2,Mus musculus
Q7TQG0,Zbtb5,Mus musculus
Q7TQI0,Tmem204,Mus musculus
Q7TQJ1,Marveld1,Mus musculus
Q7TQK1,Ints7,Mus musculus
Q7TQN9,Gpr142,Mus musculus
Q7TQP0,Gpr141,Mus musculus
Q7TQP2,Gpr135,Mus musculus
Q7TQP4,Rxfp4,Mus musculus
Q7TR79,Or8k1,Mus musculus
Q7TR96,Or9g19,Mus musculus
Q7TRF3,Or7d11,Mus musculus
Q7TRM9,Or10a4,Mus musculus
Q7TS48,Or5k16,Mus musculus
Q7TS64,Grk2,Mus musculus
Q7TS68,Nsun6,Mus musculus
Q7TSC1,Prrc2a,Mus musculus
Q7TSD1,Ghrl,Mus musculus
Q7TSH2,Phkb,Mus musculus
Q7TSH7,Kcnf1,Mus musculus
Q7TSH9,Zfp184,Mus musculus
Q7TSI0,Znf12,Mus musculus
Q7TSI3,Ppp6r1,Mus musculus
Q7TSI8,Fgfr3,Mus musculus
Q7TSJ7,Mapk8,Mus musculus
Q7TSQ1,Clec18a,Mus musculus
Q7TSV6,Got1l1,Mus musculus
Q7TT52,Ppp1r14d,Mus musculus
Q80SS5,Ifna12,Mus musculus
Q80SU7,Gvin1,Mus musculus
Q80SY3,Atp6v0d2,Mus musculus
Q80SY9,Nod2,Mus musculus
Q80T03,Muc6,Mus musculus
Q80T19,Hamp2,Mus musculus
Q80T62,Gpr101,Mus musculus
Q80TE0,Rpap1,Mus musculus
Q80TE4,Sipa1l2,Mus musculus
Q80TF3,Pcdh19,Mus musculus
Q80TL7,Mon2,Mus musculus
Q80TM6,R3hdm2,Mus musculus
Q80TN4,Dnajc16,Mus musculus
Q80TS8,Sel1l3,Mus musculus
Q80U22,Rusc2,Mus musculus
Q80U35,Arhgef17,Mus musculus
Q80U38,Khnyn,Mus musculus
Q80U44,Zfyve16,Mus musculus
Q80U49,Cep170b,Mus musculus
Q80U56,Avl9,Mus musculus
Q80UB0,Unknown,Mus musculus
Q80UG1,Fads6,Mus musculus
Q80UG6,Alkal2,Mus musculus
Q80UJ9,Setmar,Mus musculus
Q80UK0,Sestd1,Mus musculus
Q80UK8,Ints2,Mus musculus
Q80UP5,Ankrd13a,Mus musculus
Q80UQ2,Rassf6,Mus musculus
Q80UR4,Prss34,Mus musculus
Q80UU2,Rpp38,Mus musculus
Q80UX8,Abhd13,Mus musculus
Q80UY1,Carnmt1,Mus musculus
Q80UZ2,Sdad1,Mus musculus
Q80V03,Adck5,Mus musculus
Q80V23,Znf32,Mus musculus
Q80V31,Cep104,Mus musculus
Q80V86,Ints8,Mus musculus
Q80VD1,Fam98b,Mus musculus
Q80VG1,Scml4,Mus musculus
Q80VM4,Znf579,Mus musculus
Q80VN0,Cfap100,Mus musculus
Q80VP9,Asphd2,Mus musculus
Q80VQ1,Lrrc1,Mus musculus
Q80VY2,Inka2,Mus musculus
Q80W04,Tmcc2,Mus musculus
Q80W15,Igfbpl1,Mus musculus
Q80W31,Znf569,Mus musculus
Q80W37,Snupn,Mus musculus
Q80W49,Crybg3,Mus musculus
Q80W80,Mapk10,Mus musculus
Q80WC1,Ubn2,Mus musculus
Q80WC3,Tnrc18,Mus musculus
Q80WC7,Agfg2,Mus musculus
Q80WM5,Hapln3,Mus musculus
Q80WQ4,Trmt9b,Mus musculus
Q80WT5,Aftph,Mus musculus
Q80X37,Cd44,Mus musculus
Q80X68,Csl,Mus musculus
Q80X76,Serpina3f,Mus musculus
Q80X85,Mrps7,Mus musculus
Q80XD1,Chn2,Mus musculus
Q80XI7,Bpifb9a,Mus musculus
Q80XM3,Kcng4,Mus musculus
Q80XM9,Slc66a2,Mus musculus
Q80XQ2,Tbc1d5,Mus musculus
Q80XS6,Samd4b,Mus musculus
Q80Y19,Arhgap11a,Mus musculus
Q80Y72,Cstl1,Mus musculus
Q80YD3,Spata31f3,Mus musculus
Q80YP6,Zik1,Mus musculus
Q80YR2,Fhip2b,Mus musculus
Q80YS4,Tek,Mus musculus
Q80YS6,Afap1,Mus musculus
Q80YS9,Stkld1,Mus musculus
Q80YT5,Spata20,Mus musculus
Q80YW0,Cyth4,Mus musculus
Q80ZA1,Trp53,Mus musculus
Q80ZE4,Paqr7,Mus musculus
Q80ZH7,Lig3,Mus musculus
Q80ZJ2,Impa1,Mus musculus
Q80ZJ6,Zer1,Mus musculus
Q80ZJ7,Snx32,Mus musculus
Q80ZJ8,Cracr2b,Mus musculus
Q80ZM7,Gtf2a2,Mus musculus
Q80ZM8,Crls1,Mus musculus
Q80ZN5,Cst13,Mus musculus
Q80ZN9,Cox6b2,Mus musculus
Q80ZQ0,Spaca4,Mus musculus
Q80ZU0,Arl5a,Mus musculus
Q80ZU7,Bpifb3,Mus musculus
Q80ZU9,Gpr137,Mus musculus
Q810A1,Znf18,Mus musculus
Q810F8,Tbx10,Mus musculus
Q810G1,Ifna16,Mus musculus
Q810G3,Ifna14,Mus musculus
Q810I0,Vps37d,Mus musculus
Q810K9,Gxylt2,Mus musculus
Q810N9,Ccdc172,Mus musculus
Q810T2,Ccnb3,Mus musculus
Q810V0,Mphosph10,Mus musculus
Q810W6,Cxcr1,Mus musculus
Q810Z1,Lcn10,Mus musculus
Q811F1,Zbtb41,Mus musculus
Q811M1,Arhgap15,Mus musculus
Q811P0,Slc36a3,Mus musculus
Q811Q3,Adam30,Mus musculus
Q811Q4,Adam29,Mus musculus
Q811T4,Ghrl,Mus musculus
Q8BFQ1,Psap,Mus musculus
Q8BFQ6,Slc49a4,Mus musculus
Q8BFQ8,Gatd1,Mus musculus
Q8BFQ9,Klhl42,Mus musculus
Q8BFR2,Fstl5,Mus musculus
Q8BFR6,Zfand1,Mus musculus
Q8BFT2,Haus4,Mus musculus
Q8BFU3,Rnf214,Mus musculus
Q8BFU7,P2ry10,Mus musculus
Q8BFZ1,Tecrl,Mus musculus
Q8BG18,Necab1,Mus musculus
Q8BG29,Mmp28,Mus musculus
Q8BG31,Vxn,Mus musculus
Q8BG34,Ubxn10,Mus musculus
Q8BG71,Trmt12,Mus musculus
Q8BG79,Cwf19l2,Mus musculus
Q8BG81,Poldip3,Mus musculus
Q8BG92,Clvs2,Mus musculus
Q8BGA2,Lhfpl2,Mus musculus
Q8BGA8,Acsm5,Mus musculus
Q8BGB2,Ttc7a,Mus musculus
Q8BGB5,Limd2,Mus musculus
Q8BGB8,Coq4,Mus musculus
Q8BGD8,Coa6,Mus musculus
Q8BGD9,Eif4b,Mus musculus
Q8BGE4,Susd6,Mus musculus
Q8BGE9,Rxfp3,Mus musculus
Q8BGG6,Mospd3,Mus musculus
Q8BGG9,Acnat2,Mus musculus
Q8BGH2,Samm50,Mus musculus
Q8BGH7,Cdc42se2,Mus musculus
Q8BGI5,Pex26,Mus musculus
Q8BGK2,Adprhl1,Mus musculus
Q8BGL1,Ppm1n,Mus musculus
Q8BGN8,Synpr,Mus musculus
Q8BGP5,Tmem127,Mus musculus
Q8BGR5,Fam53b,Mus musculus
Q8BGS0,Mak16,Mus musculus
Q8BGS2,Bola2,Mus musculus
Q8BGV0,Nars2,Mus musculus
Q8BGX3,Lrtm2,Mus musculus
Q8BGY2,Eif5a2,Mus musculus
Q8BGY4,Klhl26,Mus musculus
Q8BGZ1,Hpcal4,Mus musculus
Q8BGZ8,Zpld1,Mus musculus
Q8BH01,Tmco3,Mus musculus
Q8BH02,Tor4a,Mus musculus
Q8BH10,Orai2,Mus musculus
Q8BH18,Tmem117,Mus musculus
Q8BH24,Tm9sf4,Mus musculus
Q8BH26,Lyset,Mus musculus
Q8BH34,Sema3d,Mus musculus
Q8BH47,Sec22a,Mus musculus
Q8BH58,Tiprl,Mus musculus
Q8BH65,Dennd6a,Mus musculus
Q8BH80,Vapb,Mus musculus
Q8BH83,Ankrd9,Mus musculus
Q8BHA1,Lrrc24,Mus musculus
Q8BHA9,Pxylp1,Mus musculus
Q8BHB4,Wdr3,Mus musculus
Q8BHC9,Fut11,Mus musculus
Q8BHD4,Frmd3,Mus musculus
Q8BHD7,Ptbp3,Mus musculus
Q8BHD8,Pcmtd2,Mus musculus
Q8BHE1,Gemin8,Mus musculus
Q8BHE8,Maip1,Mus musculus
Q8BHG3,Tmem30b,Mus musculus
Q8BHG9,Cggbp1,Mus musculus
Q8BHI9,Nim1k,Mus musculus
Q8BHL3,Tbc1d10b,Mus musculus
Q8BHL7,Cdc42se1,Mus musculus
Q8BHL8,Psmf1,Mus musculus
Q8BHM9,Tmprss11f,Mus musculus
Q8BHN5,Rbm45,Mus musculus
Q8BHN7,Unknown,Mus musculus
Q8BHP2,Nutm1,Mus musculus
Q8BHR2,Enox1,Mus musculus
Q8BHR8,Cstpp1,Mus musculus
Q8BHT7,Rgp1,Mus musculus
Q8BHX1,Haus1,Mus musculus
Q8BI08,Mal2,Mus musculus
Q8BI21,Rnf38,Mus musculus
Q8BI66,Znf526,Mus musculus
Q8BI69,Znf784,Mus musculus
Q8BI73,Znf775,Mus musculus
Q8BI99,Znf879,Mus musculus
Q8BIB9,Desi2,Mus musculus
Q8BID8,Fbxl14,Mus musculus
Q8BIF9,Znf787,Mus musculus
Q8BIG4,Fbxo28,Mus musculus
Q8BIG7,Comtd1,Mus musculus
Q8BIJ6,Iars2,Mus musculus
Q8BIQ3,Znf2,Mus musculus
Q8BIQ8,Znf770,Mus musculus
Q8BIR2,Aste1,Mus musculus
Q8BIV3,Ranbp6,Mus musculus
Q8BIV7,Slc45a1,Mus musculus
Q8BIX3,Arl14ep,Mus musculus
Q8BIY1,Gpatch3,Mus musculus
Q8BIZ0,Pcdh20,Mus musculus
Q8BIZ8,Scaper,Mus musculus
Q8BJ51,Mfsd11,Mus musculus
Q8BJ83,Tm2d3,Mus musculus
Q8BJ90,Znf771,Mus musculus
Q8BJD1,Itih5,Mus musculus
Q8BJE2,Btnl9,Mus musculus
Q8BJH1,Zc2hc1a,Mus musculus
Q8BJI4,Pou6f2,Mus musculus
Q8BJR6,Prss27,Mus musculus
Q8BJS7,Map10,Mus musculus
Q8BJU9,Mtrf1l,Mus musculus
Q8BJY1,Psmd5,Mus musculus
Q8BJZ4,Mrps35,Mus musculus
Q8BK26,Fbxo44,Mus musculus
Q8BK30,Ndufv3,Mus musculus
Q8BK58,Hspbap1,Mus musculus
Q8BK62,Olfml3,Mus musculus
Q8BKK4,Ppp1r1c,Mus musculus
Q8BKK5,Znf689,Mus musculus
Q8BKS9,Pum3,Mus musculus
Q8BKU8,Tmem87b,Mus musculus
Q8BKV0,Spock3,Mus musculus
Q8BKY8,Mterf2,Mus musculus
Q8BKZ9,Pdhx,Mus musculus
Q8BL00,Cdhr3,Mus musculus
Q8BL06,Usp54,Mus musculus
Q8BL07,Gpr150,Mus musculus
Q8BL74,Gtf3c2,Mus musculus
Q8BL99,Dop1a,Mus musculus
Q8BLA1,Dlec1,Mus musculus
Q8BLB0,Zfp3,Mus musculus
Q8BLI0,Adamtsl1,Mus musculus
Q8BLK3,Lsamp,Mus musculus
Q8BLM0,Klf8,Mus musculus
Q8BLR2,Cpne4,Mus musculus
Q8BLR5,Psd4,Mus musculus
Q8BLX4,Slc35c1,Mus musculus
Q8BM14,Lipk,Mus musculus
Q8BM39,Prpf18,Mus musculus
Q8BM81,Aadacl4fm1,Mus musculus
Q8BM85,Tbck,Mus musculus
Q8BM88,Ctso,Mus musculus
Q8BM89,Arsj,Mus musculus
Q8BMC4,Nop9,Mus musculus
Q8BMD6,Tmem260,Mus musculus
Q8BMD7,Morc4,Mus musculus
Q8BMJ3,Eif1ax,Mus musculus
Q8BMN4,Lmln,Mus musculus
Q8BMQ8,Mon1b,Mus musculus
Q8BMS7,Atp2c1,Mus musculus
Q8BN58,Arhgap28,Mus musculus
Q8BNE1,Tcaf1,Mus musculus
Q8BNL5,Kctd6,Mus musculus
Q8BP31,Rnf122,Mus musculus
Q8BP56,Pgghg,Mus musculus
Q8BP86,Snapc4,Mus musculus
Q8BP92,Rcn2,Mus musculus
Q8BPB0,Mob1b,Mus musculus
Q8BPC6,Unknown,Mus musculus
Q8BQ30,Ppp1r18,Mus musculus
Q8BQ33,Ticrr,Mus musculus
Q8BQ46,Taf15,Mus musculus
Q8BQC8,Rbak,Mus musculus
Q8BQH6,Cdcp2,Mus musculus
Q8BQM9,Med12l,Mus musculus
Q8BQR7,Mageb18,Mus musculus
Q8BQT2,Dipk1c,Mus musculus
Q8BQU7,Tmem74,Mus musculus
Q8BQZ8,Kcns3,Mus musculus
Q8BR26,Ifitm10,Mus musculus
Q8BR27,Atosb,Mus musculus
Q8BR90,Rimoc1,Mus musculus
Q8BR93,Harbi1,Mus musculus
Q8BRG8,Tmem209,Mus musculus
Q8BRH3,Arhgap19,Mus musculus
Q8BRJ3,Rell2,Mus musculus
Q8BRJ4,Ppp1r3e,Mus musculus
Q8BS03,Pi15,Mus musculus
Q8BS39,Ccdc32,Mus musculus
Q8BS72,Ctnna2,Mus musculus
Q8BS90,Bora,Mus musculus
Q8BSA9,Tyw3,Mus musculus
Q8BSD4,Gjd4,Mus musculus
Q8BSL4,Hs3st5,Mus musculus
Q8BSL7,Arf2,Mus musculus
Q8BSN9,Fastkd3,Mus musculus
Q8BT20,Spink6,Mus musculus
Q8BTF8,Ralyl,Mus musculus
Q8BTG6,Spring1,Mus musculus
Q8BTH6,Scrt2,Mus musculus
Q8BTP3,Cd200r5,Mus musculus
Q8BTR5,Dusp28,Mus musculus
Q8BTS3,Gbp9,Mus musculus
Q8BTU7,Rccd1,Mus musculus
Q8BTY8,Scfd2,Mus musculus
Q8BTZ7,Gmppb,Mus musculus
Q8BU03,Pwp2,Mus musculus
Q8BU04,Ubr7,Mus musculus
Q8BU14,Sec62,Mus musculus
Q8BU25,Pamr1,Mus musculus
Q8BUB6,Ust,Mus musculus
Q8BUL5,Klhl7,Mus musculus
Q8BUM9,Usp43,Mus musculus
Q8BUY8,Gprasp2,Mus musculus
Q8BUY9,Pggt1b,Mus musculus
Q8BV42,Znf786,Mus musculus
Q8BV49,Pyhin1,Mus musculus
Q8BVB5,Defb42,Mus musculus
Q8BVC4,Ccdc68,Mus musculus
Q8BVD2,Cyp2d12,Mus musculus
Q8BVE3,Atp6v1h,Mus musculus
Q8BVF9,Amz1,Mus musculus
Q8BVG8,Nat14,Mus musculus
Q8BVI4,Qdpr,Mus musculus
Q8BVM2,Antxrl,Mus musculus
Q8BVQ9,Psmc2,Mus musculus
Q8BVT9,Grk3,Mus musculus
Q8BVU0,Lrch3,Mus musculus
Q8BVW0,Ganc,Mus musculus
Q8BW11,Prss58,Mus musculus
Q8BW56,Gtdc1,Mus musculus
Q8BW74,Hlf,Mus musculus
Q8BW84,Gatb,Mus musculus
Q8BWA8,Arhgef19,Mus musculus
Q8BWJ3,Phka2,Mus musculus
Q8BWQ1,Ugt2a3,Mus musculus
Q8BWQ4,Cmtr2,Mus musculus
Q8BWR4,Usp40,Mus musculus
Q8BWR8,Rhpn2,Mus musculus
Q8BWU8,Etnppl,Mus musculus
Q8BWW3,Pgm3,Mus musculus
Q8BWW4,Larp4,Mus musculus
Q8BWY4,Mblac1,Mus musculus
Q8BWZ3,Naa25,Mus musculus
Q8BX05,Gk5,Mus musculus
Q8BX35,Eda2r,Mus musculus
Q8BX37,Acp7,Mus musculus
Q8BX80,Engase,Mus musculus
Q8BXF8,Actrt3,Mus musculus
Q8BXJ8,Znf385b,Mus musculus
Q8BXK4,Bmt2,Mus musculus
Q8BXQ3,Lrtm1,Mus musculus
Q8BXS7,Gpr152,Mus musculus
Q8BXT1,Rgs8,Mus musculus
Q8BXT9,Sec22c,Mus musculus
Q8BY02,Nkrf,Mus musculus
Q8BY05,Papolg,Mus musculus
Q8BY46,Znf574,Mus musculus
Q8BY79,Slc35g1,Mus musculus
Q8BYC4,Gpr20,Mus musculus
Q8BYH3,Trmt13,Mus musculus
Q8BYH7,Tbc1d17,Mus musculus
Q8BYI8,Fam234b,Mus musculus
Q8BYK5,Phactr3,Mus musculus
Q8BYK8,Zc3h6,Mus musculus
Q8BYN5,Fsd1l,Mus musculus
Q8BYP3,Rhof,Mus musculus
Q8BYW1,Arhgap25,Mus musculus
Q8BYZ7,Elmo3,Mus musculus
Q8BZ05,Arap2,Mus musculus
Q8BZ09,Slc25a21,Mus musculus
Q8BZ10,Tmprss11g,Mus musculus
Q8BZ33,Tns4,Mus musculus
Q8BZ34,Znf641,Mus musculus
Q8BZ52,Fsd2,Mus musculus
Q8BZA7,Gpr26,Mus musculus
Q8BZB2,Ppcdc,Mus musculus
Q8BZI0,Afap1l1,Mus musculus
Q8BZL4,Gpr22,Mus musculus
Q8BZN2,Kcnv1,Mus musculus
Q8BZR0,Gpr82,Mus musculus
Q8BZW4,Zfp120,Mus musculus
Q8BZW8,Nhlrc2,Mus musculus
Q8BZX4,Srek1,Mus musculus
Q8C008,Dzank1,Mus musculus
Q8C013,Tpbgl,Mus musculus
Q8C048,Atp2b3,Mus musculus
Q8C0C4,Ccser1,Mus musculus
Q8C0C7,Farsa,Mus musculus
Q8C0D4,Arhgap12,Mus musculus
Q8C0D5,Efl1,Mus musculus
Q8C0D9,Cep68,Mus musculus
Q8C0F9,Prss35,Mus musculus
Q8C0K5,Slc25a16,Mus musculus
Q8C0L8,Cog5,Mus musculus
Q8C0N0,Gm4922,Mus musculus
Q8C0Q9,Rapgef5,Mus musculus
Q8C0V7,Stk-ps2,Mus musculus
Q8C0W0,Tmsb15l,Mus musculus
Q8C0X6,Kif9,Mus musculus
Q8C0X8,Unknown,Mus musculus
Q8C0Z1,Fam234a,Mus musculus
Q8C152,Tent5b,Mus musculus
Q8C160,Mslnl,Mus musculus
Q8C176,Taf2,Mus musculus
Q8C178,Acox3,Mus musculus
Q8C1C1,Psapl1,Mus musculus
Q8C1I6,Krtap16-3,Mus musculus
Q8C1N8,Defa22,Mus musculus
Q8C1P2,Defa21,Mus musculus
Q8C1Y8,Ccz1,Mus musculus
Q8C263,Ska3,Mus musculus
Q8C266,Rab5c,Mus musculus
Q8C2A2,Tsen54,Mus musculus
Q8C2H7,Ggta1,Mus musculus
Q8C2K4,Cib1,Mus musculus
Q8C2L6,Tmem161b,Mus musculus
Q8C2P3,Dus1l,Mus musculus
Q8C2R7,Pigm,Mus musculus
Q8C2S3,Atrx,Mus musculus
Q8C398,Pigw,Mus musculus
Q8C3B8,Rft1,Mus musculus
Q8C3L1,Ssuh2,Mus musculus
Q8C3S2,Tango6,Mus musculus
Q8C3X8,Lmf2,Mus musculus
Q8C3Y4,Kntc1,Mus musculus
Q8C407,Yipf4,Mus musculus
Q8C413,Dgkg,Mus musculus
Q8C432,Rnf182,Mus musculus
Q8C4A0,Aqp6,Mus musculus
Q8C4B4,Unc119b,Mus musculus
Q8C4G9,Adgra1,Mus musculus
Q8C4J7,Tbl3,Mus musculus
Q8C522,Endod1,Mus musculus
Q8C561,Lmbrd2,Mus musculus
Q8C5L7,Rbm34,Mus musculus
Q8C5P5,Nt5dc1,Mus musculus
Q8C5R8,Prps1l1,Mus musculus
Q8C5T4,Morn3,Mus musculus
Q8C5T8,Cfap263,Mus musculus
Q8C5V0,Spata32,Mus musculus
Q8C5W3,Tbcel,Mus musculus
Q8C605,Pfkp,Mus musculus
Q8C635,Gykl1,Mus musculus
Q8C6D4,Bend5,Mus musculus
Q8C6E0,Cfap36,Mus musculus
Q8C6G3,Rnase1,Mus musculus
Q8C6G8,Wdr26,Mus musculus
Q8C6Y6,Asb14,Mus musculus
Q8C729,Hycc2,Mus musculus
Q8C779,Radx,Mus musculus
Q8C788,Snx18,Mus musculus
Q8C7B6,Fbxl22,Mus musculus
Q8C7H1,Mmaa,Mus musculus
Q8C7N0,Gabrg2,Mus musculus
Q8C7U1,N4bp3,Mus musculus
Q8C7V3,Utp15,Mus musculus
Q8C804,Spice1,Mus musculus
Q8C850,Scara3,Mus musculus
Q8C872,Tfrc,Mus musculus
Q8C8K1,Ephb4,Mus musculus
Q8C8K3,Srsf12,Mus musculus
Q8C9D4,Mapk10,Mus musculus
Q8C9H6,Strip2,Mus musculus
Q8C9K1,Kitl,Mus musculus
Q8C9S4,Ccdc186,Mus musculus
Q8C9X1,Sntn,Mus musculus
Q8CA25,Marchf2,Mus musculus
Q8CAA7,Pgm2l1,Mus musculus
Q8CAB8,Castor2,Mus musculus
Q8CAC8,Spink10,Mus musculus
Q8CAH7,Sfrp4,Mus musculus
Q8CAH8,Prkg2,Mus musculus
Q8CAL5,Gpc5,Mus musculus
Q8CB12,Gsdmc3,Mus musculus
Q8CB14,Las2,Mus musculus
Q8CB49,Tprg1,Mus musculus
Q8CB77,Eloa,Mus musculus
Q8CB96,Rassf4,Mus musculus
Q8CBB2,Slc15a5,Mus musculus
Q8CBB7,Ap1g1,Mus musculus
Q8CBC6,Lrrn3,Mus musculus
Q8CBW7,Chic1,Mus musculus
Q8CBY0,Gatc,Mus musculus
Q8CC36,Cdnf,Mus musculus
Q8CCJ4,Amer2,Mus musculus
Q8CCM6,Timm21,Mus musculus
Q8CCT7,Nsun3,Mus musculus
Q8CD73,Gm13279,Mus musculus
Q8CD76,Klc1,Mus musculus
Q8CDC0,Serpinb13,Mus musculus
Q8CDC7,Zbtb9,Mus musculus
Q8CDN6,Txnl1,Mus musculus
Q8CDT7,Cabcoco1,Mus musculus
Q8CDU5,Efhb,Mus musculus
Q8CDU6,Hectd2,Mus musculus
Q8CDV2,Pde1c,Mus musculus
Q8CDV6,Ccdc63,Mus musculus
Q8CE46,Pus7l,Mus musculus
Q8CE50,Snx30,Mus musculus
Q8CE93,Calhm4,Mus musculus
Q8CE94,Slc16a13,Mus musculus
Q8CE96,Trmt6,Mus musculus
Q8CEC0,Nup88,Mus musculus
Q8CEF1,Fem1c,Mus musculus
Q8CEG5,Ccdc28b,Mus musculus
Q8CEQ0,Cdkl1,Mus musculus
Q8CES1,Pmis2,Mus musculus
Q8CFA2,Amt,Mus musculus
Q8CFD4,Snx8,Mus musculus
Q8CFE2,Hpf1,Mus musculus
Q8CFI5,Pars2,Mus musculus
Q8CFJ7,Slc25a45,Mus musculus
Q8CFK6,Dennd1c,Mus musculus
Q8CFS6,Kcnv2,Mus musculus
Q8CG65,Sspo,Mus musculus
Q8CG85,Mamdc2,Mus musculus
Q8CGA2,Tbc1d14,Mus musculus
Q8CGA4,Mturn,Mus musculus
Q8CGB9,Ide,Mus musculus
Q8CGC6,Rbm28,Mus musculus
Q8CGD2,Crispld1,Mus musculus
Q8CGE8,Ifi205a,Mus musculus
Q8CGF5,Tlcd4,Mus musculus
Q8CGK6,Ifnl3,Mus musculus
Q8CGP4,H2ac1,Mus musculus
Q8CGQ2,Adam4,Mus musculus
Q8CGV4,Rdh1,Mus musculus
Q8CGV5,Mmp28,Mus musculus
Q8CGV8,Mmp28,Mus musculus
Q8CGZ0,Cherp,Mus musculus
Q8CGZ9,Prl7b1,Mus musculus
Q8CH02,Sugp1,Mus musculus
Q8CH09,Sugp2,Mus musculus
Q8CH19,Csnka2ip,Mus musculus
Q8CH40,Nudt6,Mus musculus
Q8CH62,Lto1,Mus musculus
Q8CHH5,Bicral,Mus musculus
Q8CHK2,Rln3,Mus musculus
Q8CHQ9,Nat8f2,Mus musculus
Q8CHS8,Vps37a,Mus musculus
Q8CHT3,Ints5,Mus musculus
Q8CHW5,Bicdl2,Mus musculus
Q8CHY3,Dym,Mus musculus
Q8CHY7,Ttc23,Mus musculus
Q8CI04,Cog3,Mus musculus
Q8CI95,Osbpl11,Mus musculus
Q8CI96,Clip4,Mus musculus
